"","IUCN_species_name","genus","species","common_name","order_e","family_e","diet_inv_e","diet_fruit_e","diet_cat_e","diet_breadth","min_body_size_mm","max_body_size_mm","body_size_mm","min_longevity","max_longevity","longevity","min_home_range","max_home_range","home_range_size","generation_time","IUCN_category"
"49","Crypturellus cinereus","Crypturellus","cinereus","Cinereous Tinamou","Tinamiformes","Tinamidae",0,100,"FruiNect",0,290,320,320,NA,NA,NA,0.113,0.19,0.19,6.8,"LC"
"50","Crypturellus cinnamomeus","Crypturellus","cinnamomeus","Thicket Tinamou","Tinamiformes","Tinamidae",30,30,"Omnivore",1.313834033,250,300,300,NA,NA,NA,0.113,0.19,0.19,5.61,"LC"
"51","Crypturellus cinnamomeus","Crypturellus","occidentalis","Thicket Tinamou","Tinamiformes","Tinamidae",30,30,"Omnivore",1.313834033,250,300,300,NA,NA,NA,0.113,0.19,0.19,5.6,"LC"
"52","Crypturellus duidae","Crypturellus","duidae","Grey-legged Tinamou","Tinamiformes","Tinamidae",30,20,"Omnivore",1.279854226,285,310,310,NA,NA,NA,0.113,0.19,0.19,5.5,"NT"
"53","Crypturellus kerriae","Crypturellus","kerriae","Choco Tinamou","Tinamiformes","Tinamidae",30,20,"Omnivore",1.279854226,250,265,265,NA,NA,NA,0.113,0.19,0.19,6.8,"VU"
"54","Crypturellus soui","Crypturellus","soui","Little Tinamou","Tinamiformes","Tinamidae",20,40,"Omnivore",1.33217904,200,240,240,NA,NA,NA,0.113,0.19,0.19,5.1,"LC"
"55","Crypturellus strigulosus","Crypturellus","strigulosus","Brazilian Tinamou","Tinamiformes","Tinamidae",30,20,"Omnivore",1.279854226,270,290,290,NA,NA,NA,0.113,0.19,0.19,6.8,"LC"
"56","Crypturellus transfasciatus","Crypturellus","transfasciatus","Pale-browed Tinamou","Tinamiformes","Tinamidae",30,20,"Omnivore",1.279854226,255,290,290,NA,NA,NA,0.113,0.19,0.19,5,"NT"
"57","Crypturellus undulatus","Crypturellus","undulatus","Undulated Tinamou","Tinamiformes","Tinamidae",0,100,"FruiNect",0,280,320,320,NA,NA,NA,0.113,0.19,0.19,6.8,"LC"
"58","Crypturellus variegatus","Crypturellus","variegatus","Variegated Tinamou","Tinamiformes","Tinamidae",0,100,"FruiNect",0,280,310,310,NA,NA,NA,0.113,0.19,0.19,6.8,"LC"
"59","Cyanocitta stelleri","Cyanocitta","stelleri","Steller's Jay","Passeriformes","Corvidae",20,20,"Omnivore",1.609437912,300,340,340,NA,NA,16,0.05,4.29,4.29,7,"LC"
"60","Cyanocorax chrysops","Cyanocorax","chrysops","Plush-crested Jay","Passeriformes","Corvidae",80,20,"Invertebrate",0.500402424,355,360,360,NA,NA,NA,0.05,0.3,0.3,6.1,"LC"
"61","Cyanocorax cristatellus","Cyanocorax","cristatellus","Curl-crested Jay","Passeriformes","Corvidae",40,40,"Omnivore",1.193549604,345,350,350,15.21,80,80,126,218,172,6.1,"LC"
"62","Cyanocorax melanocyaneus","Cyanocorax","melanocyaneus","Bushy-crested Jay","Passeriformes","Corvidae",60,20,"Invertebrate",0.950270539,280,330,330,NA,NA,NA,0.03,0.04,0.04,6.1,"LC"
"63","Cyanocorax morio","Cyanocorax","morio","Brown Jay","Passeriformes","Corvidae",30,20,"Omnivore",1.504788284,380,440,440,15.21,80,80,0.1,0.2,0.2,7.4,"LC"
"64","Cymbilaimus lineatus","Cymbilaimus","lineatus","Fasciated Antshrike","Passeriformes","Thamnophilidae",70,10,"Invertebrate",0.801818553,170,180,180,NA,NA,2.58,NA,NA,0.103,4.8,"LC"
"65","Cyrtonyx montezumae","Cyrtonyx","montezumae","Montezuma Quail","Galliformes","Odontophoridae",40,10,"Omnivore",1.193549604,205,230,230,NA,NA,7,0.01,0.5,0.5,3.9,"LC"
"66","Cyrtonyx ocellatus","Cyrtonyx","ocellatus","Ocellated Quail","Galliformes","Odontophoridae",40,10,"Omnivore",1.193549604,205,230,230,NA,NA,NA,0.01,0.02,0.02,2.24,"VU"
"67","Cyrtonyx sallei","Cyrtonyx","sallei","Spot-breasted Quail","Galliformes","Odontophoridae",40,10,"Omnivore",1.193549604,205,230,230,6,7,7,0.01,0.5,0.5,1.9,"NT"
"68","Daptrius ater","Daptrius","ater","Black Caracara","Falconiformes","Falconidae",10,10,"VertFishScav",1.748067349,410,470,470,NA,22,22,3.96,5.1,5.1,10.3,"LC"
"69","Dendrexetastes rufigula","Dendrexetastes","rufigula","Cinnamon-throated Woodcreeper","Passeriformes","Dendrocolaptidae",90,10,"Invertebrate",0.325082973,225,270,270,NA,NA,10.5,NA,NA,16,4.3,"LC"
"70","Dryobates nuttallii","Dryobates","nuttallii","Nuttall's Woodpecker","Piciformes","Picidae",70,10,"Invertebrate",0.940447989,160,180,180,NA,NA,8.75,NA,NA,0.65,4.4,"LC"
"71","Dryobates pubescens","Dryobates","pubescens","Downy Woodpecker","Piciformes","Picidae",80,10,"Invertebrate",0.63903186,140,170,170,9.75,11.92,11.92,2,12,12,4.7,"LC"
"72","Dumetella carolinensis","Dumetella","carolinensis","Grey Catbird","Passeriformes","Mimidae",60,40,"Invertebrate",0.673011667,210,240,240,12.67,17,17,0.2,0.41,0.41,6.3,"LC"
"73","Dysithamnus mentalis","Dysithamnus","mentalis","Plain Antvireo","Passeriformes","Thamnophilidae",90,10,"Invertebrate",0.325082973,100,130,130,NA,NA,9.49,0.007,0.009,0.009,4.8,"LC"
"74","Elaenia albiceps","Elaenia","albiceps","White-crested Elaenia","Passeriformes","Tyrannidae",50,50,"Omnivore",0.693147181,135,150,150,NA,NA,NA,NA,NA,0.0014,4.6,"LC"
"75","Elaenia mesoleuca","Elaenia","mesoleuca","Olivaceous Elaenia","Passeriformes","Tyrannidae",50,50,"Omnivore",0.693147181,140,160,160,NA,NA,NA,NA,NA,0.0015,4.6,"LC"
"76","Elaenia obscura","Elaenia","obscura","Highland Elaenia","Passeriformes","Tyrannidae",50,50,"Omnivore",0.693147181,160,180,180,NA,NA,NA,NA,NA,0.0019,4.6,"LC"
