IUCN_species_name,genus,species,common_name,order_e,family_e,diet_inv_e,diet_fruit_e,diet_cat_e,diet_breadth,min_body_size_mm,max_body_size_mm,body_size_mm,min_longevity,max_longevity,longevity,min_home_range,max_home_range,home_range_size,generation_time,IUCN_category
Anisognathus melanogenys,Anisognathus,melanogenys,Santa Marta Mountain-tanager,Passeriformes,Thraupidae,20,70,FruiNect,0.801818553,NA,NA,180,NA,NA,NA,NA,NA,NA,3.7,LC
Anisognathus notabilis,Anisognathus,notabilis,Black-chinned Mountain-tanager,Passeriformes,Thraupidae,0,100,FruiNect,0,NA,NA,180,NA,NA,NA,NA,NA,NA,3.7,LC
Anisognathus somptuosus,Anisognathus,somptuosus,Blue-winged Mountain-tanager,Passeriformes,Thraupidae,10,50,Omnivore,0.943348392,160,170,170,NA,NA,NA,NA,NA,NA,3.7,LC
Anodorhynchus glaucus,Anodorhynchus,glaucus,Hyacinth Macaw,Psittaciformes,Psittacidae,0,100,FruiNect,0,NA,NA,720,NA,NA,22.7,NA,NA,3.45,10.4,CR
Antilophia galeata,Antilophia,galeata,Helmeted Manakin,Passeriformes,Pipridae,40,60,FruiNect,0.673011667,139,145,145,6.83,15.25,15.25,3.94,43.5,43.5,4.4,LC
Aphelocoma ultramarina,Aphelocoma,ultramarina,Transvolcanic jay,Passeriformes,Corvidae,10,20,Omnivore,1.886696785,280,320,320,NA,NA,19,NA,NA,NA,7.3,LC
Aphelocoma wollweberi,Aphelocoma,wollweberi,Mexican Jay,Passeriformes,Corvidae,10,20,Omnivore,1.886696785,280,320,290,NA,NA,19,NA,NA,NA,8.9,LC
Ara ambiguus,Ara,ambiguus,Great Green Macaw,Psittaciformes,Psittacidae,0,50,Omnivore,0.693147181,850,900,900,NA,NA,29,NA,NA,NA,11.2,EN
Ara ararauna,Ara,ararauna,Blue-and-yellow Macaw,Psittaciformes,Psittacidae,0,30,PlantSeed,1.313834033,810,860,860,30,50,50,682,3080,1881,12.7,LC
Ara chloropterus,Ara,chloropterus,Red-and-green Macaw,Psittaciformes,Psittacidae,0,40,PlantSeed,1.088899975,900,950,950,NA,NA,9.51,NA,NA,NA,12.7,LC
Ara glaucogularis,Ara,glaucogularis,Blue-throated Macaw,Psittaciformes,Psittacidae,0,100,FruiNect,0,NA,NA,850,NA,NA,22,NA,NA,NA,8.1,CR
Ara macao,Ara,macao,Scarlet Macaw,Psittaciformes,Psittacidae,0,20,PlantSeed,1.366158848,840,890,890,33,65,65,66,2388,1227,12.7,LC
Ara militaris,Ara,militaris,Military Macaw,Psittaciformes,Psittacidae,0,100,FruiNect,0,700,710,710,NA,NA,54,NA,NA,NA,15.16,VU
Ara rubrogenys,Ara,rubrogenys,Red-fronted Macaw,Psittaciformes,Psittacidae,0,10,PlantSeed,0.897945725,550,600,600,NA,NA,23,NA,NA,50,12.7,CR
Ara severus,Ara,severus,Chestnut-fronted Macaw,Psittaciformes,Psittacidae,0,30,PlantSeed,1.029653014,460,510,510,NA,NA,28.5,NA,NA,NA,12.7,LC
Aramides saracura,Aramides,saracura,Slaty-breasted Wood-rail,Gruiformes,Rallidae,70,10,Invertebrate,0.940447989,340,370,370,NA,NA,NA,NA,NA,NA,3.7,LC
Aramides wolfi,Aramides,wolfi,Brown Wood-rail,Gruiformes,Rallidae,70,10,Invertebrate,0.940447989,330,360,360,NA,NA,NA,NA,NA,0.135,3.7,VU
Aramides ypecaha,Aramides,ypecaha,Giant Wood-rail,Gruiformes,Rallidae,50,20,Omnivore,1.029653014,410,450,450,NA,NA,NA,NA,NA,0.135,3.7,LC
Aratinga nenday,Aratinga,nenday,Nanday Parakeet,Psittaciformes,Psittacidae,0,30,PlantSeed,1.088899975,300,310,310,NA,NA,22.7,NA,NA,NA,6,LC
Aratinga weddellii,Aratinga,weddellii,Dusky-headed Parakeet,Psittaciformes,Psittacidae,0,60,FruiNect,0.673011667,NA,NA,280,NA,NA,22.7,NA,NA,NA,7,LC
Arremon assimilis,Arremon,assimilis,Grey-browed Brush-finch,Passeriformes,Emberizidae,40,30,Omnivore,1.088899975,190,200,200,NA,NA,NA,0.0013,0.0189,0.0189,3.8,LC
Arremon atricapillus,Arremon,atricapillus,Black-headed Brush-finch,Passeriformes,Emberizidae,40,30,Omnivore,1.088899975,NA,NA,190,NA,NA,NA,NA,NA,NA,3.8,LC
Arremon aurantiirostris,Arremon,aurantiirostris,Orange-billed Sparrow,Passeriformes,Emberizidae,30,40,Omnivore,1.088899975,145,165,165,NA,NA,8.92,NA,NA,NA,3.3,LC
Arremon basilicus,Arremon,basilicus,Sierra Nevada Brush-finch,Passeriformes,Emberizidae,40,30,Omnivore,1.088899975,NA,NA,190,NA,NA,NA,NA,NA,NA,3.8,NT
Arremon brunneinucha,Arremon,brunneinucha,Chestnut-capped Brush-finch,Passeriformes,Emberizidae,40,30,Omnivore,1.088899975,163,195,195,NA,NA,NA,NA,NA,NA,3.4,LC
Arremon castaneiceps,Arremon,castaneiceps,Olive Finch,Passeriformes,Emberizidae,40,20,Omnivore,1.279854226,150,165,165,NA,NA,NA,NA,NA,NA,3.8,NT
Arremon costaricensis,Arremon,costaricensis,Costa Rican Brush-finch,Passeriformes,Emberizidae,40,30,Omnivore,1.088899975,174,200,200,NA,NA,NA,NA,NA,NA,2.4,LC
Arremon crassirostris,Arremon,crassirostris,Sooty-faced Finch,Passeriformes,Emberizidae,40,20,Omnivore,1.279854226,150,171,171,NA,NA,NA,NA,NA,NA,3.3,LC
Arremon flavirostris,Arremon,flavirostris,Saffron-billed Sparrow,Passeriformes,Emberizidae,30,40,Omnivore,1.088899975,150,165,165,NA,NA,NA,NA,NA,0.0021,3.8,LC
Arremon perijanus,Arremon,perijanus,Perija Brush-finch,Passeriformes,Emberizidae,40,30,Omnivore,1.088899975,NA,NA,190,NA,NA,NA,NA,NA,NA,3.8,VU
Arremon phaeopleurus,Arremon,phaeopleurus,Caracas Brush-finch,Passeriformes,Emberizidae,40,30,Omnivore,1.088899975,NA,NA,190,NA,NA,NA,NA,NA,NA,3.8,LC
Arremon phygas,Arremon,phygas,Paria Brush-finch,Passeriformes,Emberizidae,40,30,Omnivore,1.088899975,NA,NA,190,NA,NA,NA,NA,NA,NA,3.8,VU
Arremon torquatus,Arremon,torquatus,White-browed Brush-finch,Passeriformes,Emberizidae,40,30,Omnivore,1.088899975,NA,NA,190,NA,NA,NA,NA,NA,NA,3.8,LC
Arremon virenticeps,Arremon,virenticeps,Green-striped Brush-finch,Passeriformes,Emberizidae,40,30,Omnivore,1.088899975,172,205,205,NA,NA,NA,NA,NA,NA,3.5,LC
Arremonops chloronotus,Arremonops,chloronotus,Green-backed Sparrow,Passeriformes,Emberizidae,40,20,Omnivore,1.33217904,150,160,160,NA,NA,8.92,NA,NA,NA,2.6,LC
Arremonops conirostris,Arremonops,conirostris,Black-striped Sparrow,Passeriformes,Emberizidae,40,30,Omnivore,1.088899975,NA,NA,165,NA,NA,NA,NA,NA,NA,3,LC
Arremonops rufivirgatus,Arremonops,rufivirgatus,Olive Sparrow,Passeriformes,Emberizidae,40,20,Omnivore,1.054920168,135,150,150,NA,8.2,8.2,0.005,0.01,0.01,2.79,LC
Aspatha gularis,Aspatha,gularis,Blue-throated Motmot,Coraciiformes,Momotidae,70,30,Invertebrate,0.610864302,255,280,280,NA,NA,NA,NA,NA,NA,3.3,LC
Asthenes perijana,Asthenes,perijana,Perija Thistletail,Passeriformes,Furnariidae,90,10,Invertebrate,0.325082973,190,220,220,NA,NA,NA,NA,NA,NA,3.8,EN
Atlapetes albiceps,Atlapetes,albiceps,White-headed Brush-finch,Passeriformes,Emberizidae,40,30,Omnivore,1.088899975,NA,NA,160,NA,NA,8.92,NA,NA,NA,3.8,LC
Atlapetes albinucha,Atlapetes,albinucha,White-naped Brush-finch,Passeriformes,Emberizidae,40,30,Omnivore,1.088899975,170,210,210,NA,NA,NA,NA,NA,NA,3.2,LC
