IUCN_species_name,common_name,family,genus,species,subspecies,diet_cat,diet_breadth,IUCN_category,mean_human_fp_range_2010,mean_human_fp_range_2020,percent_change_hf_2010_2020
Cacajao calvus,Red Uacari,Pitheciidae,Cacajao,calvus,ucayalii,FruiNect,0.940447989,VU,106.6845953,151.0838457,41.61730213
Cacajao calvus,Novaes' Bald-headed Uacari,Pitheciidae,Cacajao,calvus,novaesi,FruiNect,0.940447989,VU,106.6845953,151.0838457,41.61730213
Cacajao hosomi,Neblina uakari,Pitheciidae,Cacajao,hosomi,NA,FruiNect,0.940447989,VU,32.0269044,50.05503623,56.29058496
Cacajao melanocephalus,Golden-backed uakari,Pitheciidae,Cacajao,melanocephalus,NA,FruiNect,0.940447989,LC,70.16390156,97.18900132,38.51709948
Caenolestes caniventer,Gray-bellied caenolestid,Caenolestidae,Caenolestes,caniventer,NA,Invertebrate,0.940447989,NT,985.2608957,1322.091422,34.18693742
Caenolestes condorensis,Andean caenolestid,Caenolestidae,Caenolestes,condorensis,NA,Invertebrate,0.940447989,VU,147.6791015,181.7794801,23.09086277
Caenolestes convelatus,Northern caenolestid,Caenolestidae,Caenolestes,convelatus,NA,Invertebrate,0.940447989,VU,704.8322321,878.1179129,24.58537975
Caenolestes fuliginosus,Tate's shrew opossum,Caenolestidae,Caenolestes,fuliginosus,NA,Invertebrate,0.940447989,LC,989.3018569,1203.934845,21.69539925
Caenolestes sangay,Eastern caenolestid,Caenolestidae,Caenolestes,sangay,NA,Invertebrate,0.940447989,VU,409.9009676,558.3781052,36.22268532
Callimico goeldii,Goeldi’s Monkey,Cebidae,Callimico,goeldii,NA,Omnivore,0.943348392,VU,134.3746301,183.0265444,36.20617543
Caluromys derbianus,Derby's woolly opossum,Didelphidae,Caluromys,derbianus,NA,Omnivore,1.470808476,LC,909.5952527,1118.524957,22.96952446
Caluromys lanatus,Brown-eared woolly opossum,Didelphidae,Caluromys,lanatus,NA,Omnivore,1.470808476,LC,413.3070991,538.0978528,30.19322774
Caluromys philander,Bare-tailed Woolly Opossum,Didelphidae,Caluromys,philander,NA,Omnivore,1.470808476,LC,401.2445668,542.4150604,35.18315396
Caluromysiops irrupta,Black-shouldered Opossum,Didelphidae,Caluromysiops,irrupta,NA,Omnivore,1.33217904,LC,247.1554706,350.2221892,41.70116822
Carollia benkeithi,Benkeith's short-tailed bat,Phyllostomidae,Carollia,benkeithi,NA,FruiNect,0,LC,248.2179697,351.6722198,41.67879151
Carollia brevicauda,Silky Short-tailed Bat,Phyllostomidae,Carollia,brevicauda,NA,FruiNect,0,LC,376.7856168,495.7561292,31.57512045
Carollia castanea,Chestnut Short-tailed Bat,Phyllostomidae,Carollia,castanea,NA,FruiNect,0,LC,626.2361391,766.7556193,22.43873699
Carollia manu,Manu short-tailed bat,Phyllostomidae,Carollia,manu,NA,FruiNect,0,LC,618.4575423,770.2917775,24.55047029
Carollia monohernandezi,Mono's short-tailed bat,Phyllostomidae,Carollia,monohernandezi,NA,FruiNect,0,DD,1383.812883,1716.446583,24.03747676
Carollia perspicillata,Seba's short-tailed bat,Phyllostomidae,Carollia,perspicillata,NA,FruiNect,0,LC,463.4231303,603.7921098,30.28959291
Cebus aequatorialis,Ecuadorian capuchin,Cebidae,Cebus,aequatorialis,NA,Omnivore,1.748067349,CR,1115.660001,1501.357696,34.57125776
Cebus albifrons,White-fronted Capuchin,Cebidae,Cebus,albifrons,NA,Omnivore,1.748067349,LC,67.19479469,102.0237025,51.83274676
Cebus capucinus ,Colombian White-throated Capuchin,Cebidae,Cebus,capucinus,NA,Omnivore,1.748067349,VU,NA,NA,NA
Cebus cuscinus,Shock-headed capuchin,Cebidae,Cebus,cuscinus,NA,Omnivore,1.748067349,NT,350.195518,453.5817086,29.52241971
Cebus leucocephalus,Sierra de Perijá White-fronted Capuchin,Cebidae,Cebus,leucocephalus,NA,Omnivore,1.748067349,VU,1217.376964,1313.605855,7.904609183
Cebus malitiosus ,Santa Marta White-fronted Capuchin,Cebidae,Cebus,malitiosus,NA,Omnivore,1.748067349,EN,NA,NA,NA
Centurio senex,Wrinkle-faced Bat,Phyllostomidae,Centurio,senex,NA,FruiNect,0,LC,889.89039,1080.131305,21.37801651
Cerradomys maracajuensis,Maracaju Rice Rat,Cricetidae,Cerradomys,maracajuensis,NA,PlantSeed,1.33217904,LC,577.6823448,714.110084,23.6163941
Cerradomys subflavus,Terraced Rice Rat,Cricetidae,Cerradomys,subflavus,NA,PlantSeed,1.33217904,LC,847.1563452,1056.118345,24.66628511
Cheracebus lucifer,Yellow-handed Titi Monkey,Pitheciidae,Cheracebus,lucifer,NA,Omnivore,1.029653014,LC,107.109782,127.5440257,19.07785018
Cheracebus lugens,Black titi,Pitheciidae,Cheracebus,lugens,NA,Omnivore,1.029653014,LC,110.9003959,157.441902,41.96694309
Cheracebus medemi,Colombian Black-handed Titi,Pitheciidae,Cheracebus,medemi,NA,Omnivore,1.029653014,VU,268.534004,334.3687907,24.51636878
Chibchanomys trichotis,Chibchan water mouse,Cricetidae,Chibchanomys,trichotis,NA,PlantSeed,1.279854226,DD,NA,NA,NA
