IUCN_species_name,common_name,family,genus,species,subspecies,diet_cat,diet_breadth,IUCN_category,mean_human_fp_range_2010,mean_human_fp_range_2020,percent_change_hf_2010_2020
Isthmomys pirrensis,Mount Pirri isthmus rat,Cricetidae,Isthmomys,pirrensis,NA,Omnivore,1.220607265,LC,181.3830003,210.0257904,15.79133106
Juliomys pictipes,Lesser Wilfred's mouse,Cricetidae,Juliomys,pictipes,NA,PlantSeed,0.673011667,LC,1002.620566,1320.448719,31.69974399
Lagothrix flavicauda,Yellow-tailed woolly monkey,Atelidae,Lagothrix,flavicauda,NA,FruiNect,0.801818553,CR,349.5556773,445.7626333,27.52264153
Lagothrix lagothricha,Common Woolly Monkey,,Lagothrix,lagrothricha,NA,FruiNect,0.940447989,VU,120.5978397,170.8398672,41.66080223
Lagothrix lagothricha,Common Woolly Monkey,,Lagothrix,lagrothricha,NA,FruiNect,0.940447989,VU,120.5978397,170.8398672,41.66080223
Lagothrix lagothricha,Red Woolly Monkey,Atelidae,Lagothrix,lagrothricha,poeppigii,FruiNect,0.801818553,EN,120.5978397,170.8398672,41.66080223
Lagothrix lagothricha,Geoffroy's Woolly Monkey,Atelidae,Lagothrix,lagothricha,cana,FruiNect,0.801818553,EN,120.5978397,170.8398672,41.66080223
Lagothrix lagothricha,Colombian woolly monkey,Atelidae,Lagothrix,lagrothricha,lugens,FruiNect,0.801818553,CR,120.5978397,170.8398672,41.66080223
Lampronycteris brachyotis,Yellow-throated Big-eared Bat,Phyllostomidae,Lampronycteris,brachyotis,NA,Invertebrate,0.500402424,LC,261.1747084,344.8831825,32.05075816
Lenoxus apicalis,Andean rat,Cricetidae,Lenoxus,apicalis,NA,PlantSeed,1.279854226,LC,446.9633344,559.6624073,25.21438879
Leontocebus fuscicollis,Saddleback Tamarin,Cebidae,Leontocebus,fuscicollis,NA,FruiNect,1.088899975,LC,71.82983054,91.30430091,27.11195366
Leontocebus nigricollis,Black-mantled tamarin,Cebidae,Leontocebus,nigricollis,NA,FruiNect,1.088899975,LC,259.0941081,349.0885355,34.7342624
Leontocebus tripartitus,Golden-mantle Saddleback Tamarin,Cebidae,Leontocebus,tripartitus,NA,FruiNect,1.088899975,NT,91.48019862,144.7810909,58.26495034
Leopardus wiedii,Margay,Felidae,Leopardus,wiedii,NA,VertFishScav,0.500402424,NT,432.7801707,567.4966065,31.12814424
Leptonycteris curasoae,Southern long-nosed bat,Phyllostomidae,Leptonycteris,curasoae,NA,FruiNect,1.054920168,VU,954.2722353,1128.628726,18.27114779
Lestoros inca,Incan shrew opossum,Caenolestidae,Lestoros,inca,NA,Invertebrate,0.940447989,LC,316.8354531,425.0785349,34.16381619
Lichonycteris degener,Pale brown long-nosed bat,Phyllostomidae,Lichonycteris,degener,NA,FruiNect,0.693147181,LC,431.9678959,552.9921247,28.01694988
Lichonycteris obscura,Dark long-tongued bat,Phyllostomidae,Lichonycteris,obscura,NA,FruiNect,0.693147181,LC,854.9359729,1047.306252,22.50113281
Lionycteris spurrelli,Chestnut long-tongued bat,Phyllostomidae,Lionycteris,spurrelli,NA,FruiNect,0.897945725,LC,282.1547333,369.5739631,30.98272665
Lonchophylla cadenai,NA,Phyllostomidae,Lonchophylla,cadenai,NA,FruiNect,1.088899975,DD,630.7743232,761.3394005,20.6991744
Lonchophylla chocoana,Chocoan long-tongued bat,Phyllostomidae,Lonchophylla,chocoana,NA,FruiNect,1.088899975,DD,373.4319025,441.6501836,18.26793071
Lonchophylla concava,Goldman's nectar bat,Phyllostomidae,Lonchophylla,concava,NA,FruiNect,1.088899975,LC,955.9389418,1225.446741,28.192993
Lonchophylla fornicata,NA,Phyllostomidae,Lonchophylla,fornicata,NA,FruiNect,1.088899975,DD,675.310784,817.0893257,20.99456206
Lonchophylla handleyi,Handley's nectar bat,Phyllostomidae,Lonchophylla,handleyi,NA,FruiNect,1.088899975,LC,293.1722234,403.4764731,37.62438626
Lonchophylla orcesi,Orcés's long-tongued bat ,Phyllostomidae,Lonchophylla,orcesi,NA,FruiNect,1.088899975,DD,86.80290418,134.9406343,55.45635894
Lonchophylla orienticollina,Eastern Cordilleran nectar bat,Phyllostomidae,Lonchophylla,orienticollina,NA,FruiNect,1.088899975,DD,1031.60045,1193.927763,15.73548298
Lonchophylla pattoni,Patton's Nectar Bat,Phyllostomidae,Lonchophylla,pattoni,NA,FruiNect,1.088899975,DD,477.8563671,663.5760266,38.86516373
Lonchophylla robusta,Orange nectar bat ,Phyllostomidae,Lonchophylla,robusta,NA,FruiNect,1.088899975,LC,866.7527236,1044.038706,20.45404384
Lonchophylla thomasi,Thomas's nectar bat,Phyllostomidae,Lonchophylla,thomasi,NA,FruiNect,1.088899975,LC,292.9790113,390.7275432,33.36366364
Lophostoma brasiliense,Pygmy round-eared bat,Phyllostomidae,Lophostoma,brasiliense,NA,Invertebrate,0.325082973,LC,341.3182795,441.9064244,29.47048282
Lophostoma carrikeri,Carriker's Round-eared Bat,Phyllostomidae,Lophostoma,carrikeri,NA,Invertebrate,0.325082973,LC,178.2655534,248.4950275,39.39598686
Lophostoma evotis,Davis's Round-eared Bat,Phyllostomidae,Lophostoma,evotis,NA,Invertebrate,0.325082973,LC,794.6895651,1046.519865,31.68914135
Lophostoma kalkoae,Kalko's round-eared bat,Phyllostomidae,Lophostoma,kalkoae,NA,Invertebrate,0.325082973,DD,1477.574145,1753.818078,18.69577472
Lophostoma occidentalis,Western round-eared bat ,Phyllostomidae,Lophostoma,occidentalis,NA,Invertebrate,0.325082973,NT,922.8508832,1183.708342,28.26647985
Lophostoma silvicolum,Lophostoma silvicolum,Phyllostomidae,Lophostoma,silvicolum,NA,Invertebrate,0.325082973,LC,309.2765667,405.3399871,31.06068507
Lycalopex culpaeus,Culpeo,Canidae,Lycalopex,culpaeus,NA,VertFishScav,0.940447989,LC,443.2934532,599.261237,35.18386808
Macrotus waterhousii,Waterhouse's Leaf-nosed Bat,Phyllostomidae,Macrotus,waterhousii,NA,Omnivore,0.693147181,LC,971.9730531,1232.813462,26.83617702
Makalata didelphoides,Red-nosed Armored Tree-rat,Echimyidae,Makalata,didelphoides,NA,Omnivore,0.693147181,LC,249.0519676,359.0260945,44.15710021
Makalata macrura,Long-tailed Armored Tree-rat,Echimyidae,Makalata,macrura,NA,FruiNect,0.500402424,LC,118.3542962,162.2160573,37.05971173
Marmosa alstoni,Alston's mouse opossum,Didelphidae,Marmosa,alstoni,NA,Invertebrate,0.325082973,LC,786.1808501,927.1834163,17.9351311
Marmosa andersoni,Heavy-browed mouse opossum,Didelphidae,Marmosa,andersoni,NA,Omnivore,1.418483662,DD,114.7091224,211.1606247,84.08354992
Marmosa constantiae,White-bellied woolly mouse opossum,Didelphidae,Marmosa,constantiae,NA,Invertebrate,0.325082973,LC,337.2287267,470.2759335,39.45310596
Marmosa demerarae,Woolly Mouse Opossum,Didelphidae,Marmosa,demerarae,NA,Invertebrate,0.325082973,LC,330.8223666,443.638346,34.10167835
Marmosa lepida,Little Rufous Mouse Opossum,Didelphidae,Marmosa,lepida,NA,Omnivore,1.418483662,LC,128.6455123,181.1887584,40.84343495
Marmosa mexicana,Mexican mouse opossum,Didelphidae,Marmosa,mexicana,NA,Omnivore,1.418483662,LC,908.997853,1115.456935,22.71282393
Marmosa murina,Linnaeus's Mouse Opossum,Didelphidae,Marmosa,murina,NA,Omnivore,1.418483662,LC,272.4484606,368.9549622,35.42192951
Marmosa paraguayana,Tate's Woolly Mouse Opossum,Didelphidae,Marmosa,paraguayana,NA,Omnivore,1.366158848,LC,939.7687185,1244.456081,32.42152637
Marmosa phaea,Little woolly mouse opossum,Didelphidae,Marmosa,phaea,NA,Invertebrate,0.325082973,VU,659.818246,905.631886,37.25475029
Marmosa quichua,Quechuan mouse opossum,Didelphidae,Marmosa,quichua,NA,Omnivore,1.418483662,LC,287.0297136,411.2291113,43.27057162
Marmosa regina,Bare-tailed woolly mouse opossum,Didelphidae,Marmosa,regina,NA,Invertebrate,0.325082973,LC,199.5774847,272.8385216,36.70806704
Marmosa robinsoni,Robinson's mouse opossum,Didelphidae,Marmosa,robinsoni,NA,Omnivore,1.418483662,LC,1044.501885,1210.995039,15.93995731
Marmosa rubra,Red Mouse Opossum,Didelphidae,Marmosa,rubra,NA,Omnivore,1.418483662,DD,172.2545644,253.8668817,47.37889973
Marmosa tyleriana,Tyler's mouse opossum,Didelphidae,Marmosa,tyleriana,NA,Omnivore,1.418483662,DD,56.88226613,89.74389743,57.77131177
Marmosops bishopi,Bishop's slender opossum,Didelphidae,Marmosops,bishopi,NA,Omnivore,0.693147181,LC,223.886283,346.1902768,54.62772986
Marmosops caucae,NA,Didelphidae,Marmosops,caucae,NA,Omnivore,0.693147181,LC,887.4652259,1083.986305,22.1440878
Marmosops cracens,Slim-faced Slender Mouse Opossum,Didelphidae,Marmosops,cracens,NA,Omnivore,0.693147181,DD,1379.749086,1319.113438,-4.394686617
Marmosops creightoni,Creighton's slender opossum,Didelphidae,Marmosops,creightoni,NA,Omnivore,0.693147181,DD,551.5684862,744.0749344,34.90164014
Marmosops fuscatus,Dusky slender opossum,Didelphidae,Marmosops,fuscatus,NA,Omnivore,0.693147181,DD,1299.876326,1472.214198,13.25802068
Marmosops handleyi,Handley's slender opossum,Didelphidae,Marmosops,handleyi,NA,Omnivore,0.693147181,CR,896.9515591,1101.653888,22.82200487
Marmosops impavidus,Tschudi's slender opossum,Didelphidae,Marmosops,impavidus,NA,Omnivore,0.693147181,LC,241.4517354,330.8655653,37.0317611
Marmosops invictus,Panama slender opossum,Didelphidae,Marmosops,invictus,NA,Omnivore,0.693147181,LC,800.6848934,918.7389233,14.74413104
Marmosops juninensis,Junin slender opossum,Didelphidae,Marmosops,juninensis,NA,Omnivore,0.693147181,VU,629.8515445,756.205123,20.06085078
Marmosops neblina,Neblina slender opossum,Didelphidae,Marmosops,neblina,NA,Omnivore,0.693147181,LC,80.98633748,111.7638482,38.00333696
Marmosops noctivagus,White-bellied slender opossum,Didelphidae,Marmosops,noctivagus,NA,Omnivore,0.693147181,LC,142.0574121,198.8105142,39.95082075
Marmosops pakaraimae,NA,Didelphidae,Marmosops,pakaraimae,NA,Omnivore,0.693147181,VU,162.091867,227.0629146,40.08285471
Marmosops parvidens,Delicate slender opossum,Didelphidae,Marmosops,parvidens,NA,Omnivore,0.693147181,LC,104.0045592,150.9674926,45.15468721
Marmosops pinheiroi,Pinheiro's Slender Opossum,Didelphidae,Marmosops,pinheiroi,NA,Omnivore,0.693147181,LC,201.2037337,275.0004952,36.67763023
Mazama gouazoubira,Gray Brocket,Cervidae,Mazama,gouazoubira,NA,PlantSeed,1.029653014,LC,682.134173,879.2848133,28.9020325
Mazama nemorivaga,Amazonian Brown Brocket,Cervidae,Mazama,nemorivaga,NA,PlantSeed,1.029653014,LC,240.4435759,331.8345258,38.0093124
Megadontomys cryophilus,Oaxaca giant deer mouse,Cricetidae,Megadontomys,cryophilus,NA,FruiNect,0.500402424,EN,346.3322019,593.3658723,71.32853054
Megadontomys nelsoni,Nelson's giant deer mouse,Cricetidae,Megadontomys,nelsoni,NA,FruiNect,0.500402424,EN,1184.269196,1511.929311,27.66770564
Megadontomys thomasi,Thomas's giant deer mouse,Cricetidae,Megadontomys,thomasi,NA,FruiNect,0.500402424,EN,569.2791435,821.1756721,44.24833256
Melanomys caliginosus,Dusky melanomys,Cricetidae,Melanomys,caliginosus,NA,PlantSeed,1.279854226,LC,876.5016121,1048.969945,19.67689858
Melanomys robustulus,Robust Dark Rice Rat,Cricetidae,Melanomys,robustulus,NA,PlantSeed,1.279854226,LC,364.1353418,551.109437,51.34741776
Mesomys hispidus,Ferreira's spiny tree-rat,Echimyidae,Mesomys,hispidus,NA,PlantSeed,1.029653014,LC,132.490109,189.3479681,42.91479533
Mesomys leniceps,Woolly-headed spiny tree-rat,Echimyidae,Mesomys,leniceps,NA,PlantSeed,1.029653014,DD,499.1807793,577.5296031,15.69548088
Mesophylla macconnelli,MacConnell's bat,Phyllostomidae,Mesophylla,macconnelli,NA,FruiNect,0.325082973,LC,294.569411,393.735552,33.66477895
Metachirus nudicaudatus,Brown Four-eyed Opossum,Didelphidae,Metachirus,nudicaudatus,NA,Omnivore,1.557113098,LC,374.559032,497.188365,32.73965449
Mico melanurus,Black-tailed Marmoset,Cebidae,Mico,melanurus,NA,FruiNect,1.33217904,LC,313.1234145,453.6127687,44.86708681
Micronycteris brosseti,Brosset's big-eared bat ,Phyllostomidae,Micronycteris,brosseti,NA,Invertebrate,0.500402424,DD,123.0994647,172.3600118,40.01686542
Micronycteris giovanniae,NA,Phyllostomidae,Micronycteris,giovanniae,NA,Invertebrate,0.500402424,DD,1087.6584,1504.228982,38.29976239
Micronycteris hirsuta,Hairy big-eared bat,Phyllostomidae,Micronycteris,hirsuta,NA,Invertebrate,0.500402424,LC,338.8889164,428.2098322,26.35698939
Micronycteris megalotis,Little big-eared bat,Phyllostomidae,Micronycteris,megalotis,NA,Invertebrate,0.500402424,LC,405.7061673,533.0180138,31.38030839
Micronycteris microtis,Common big-eared bat,Phyllostomidae,Micronycteris,microtis,NA,Invertebrate,0.500402424,LC,319.8206773,408.7137859,27.79467212
Micronycteris minuta,White-bellied big-eared bat,Phyllostomidae,Micronycteris,minuta,NA,Invertebrate,0.500402424,LC,420.9013794,547.9147318,30.17651131
Micronycteris schmidtorum,Schmidts's big-eared bat,Phyllostomidae,Micronycteris,schmidtorum,NA,Invertebrate,0.500402424,LC,409.4827629,516.3405543,26.09579723
Micronycteris yatesi,Yates's big-eared bat,Phyllostomidae,Micronycteris,yatesi,NA,Invertebrate,0.500402424,DD,582.075643,749.8398598,28.82172083
Microryzomys minutus,Forest small rice rat,Cricetidae,Microryzomys,minutus,NA,PlantSeed,1.279854226,LC,695.2275323,872.1991396,25.45520698
Microsciurus alfari,Central American dwarf squirrel,Sciuridae,Microsciurus,alfari,NA,Omnivore,0.693147181,LC,843.0084605,999.6752154,18.58424468
Microsciurus flaviventer,Amazon dwarf squirrel,Sciuridae,Microsciurus,flaviventer,NA,Omnivore,0.693147181,LC,136.1317393,192.6819867,41.54082483
Microsciurus mimulus,Western dwarf squirrel,Sciuridae,Microsciurus,mimulus,NA,Omnivore,0.693147181,LC,648.4299914,757.6483393,16.84350653
Microsciurus santanderensis,Santander dwarf squirrel,Sciuridae,Microsciurus,santanderensis,NA,Omnivore,0.693147181,DD,896.3420441,1094.182976,22.07203526
Mimon bennettii,Golden Bat,Phyllostomidae,Mimon,bennettii,NA,Omnivore,1.366158848,LC,608.307065,774.3150685,27.29016528
Mimon cozumelae,Cozumelan golden bat,Phyllostomidae,Mimon,cozumelae,NA,Invertebrate,0.897945725,LC,810.0102546,1000.050017,23.461402
Mindomys hammondi,Hammond's rice rat,Cricetidae,Mindomys,hammondi,NA,PlantSeed,1.33217904,EN,1020.009732,1458.372854,42.97636662
Monodelphis adusta,Sepia short-tailed opossum,Didelphidae,Monodelphis,adusta,NA,Omnivore,1.609437912,LC,436.6961978,568.0517522,30.07939043
Monodelphis brevicaudata,Northern Red-sided Opossum,Didelphidae,Monodelphis,brevicaudata,NA,Omnivore,1.609437912,LC,118.8915363,167.1298894,40.57341217
Monodelphis dimidiata,Southern Short-tailed Opossum,Didelphidae,Monodelphis,dimidiata,NA,Omnivore,1.609437912,LC,893.128117,1162.54314,30.16532762
Monodelphis domestica,Grey Short-tailed Opossum,Didelphidae,Monodelphis,domestica,NA,Omnivore,1.609437912,LC,557.1229424,730.0284535,31.03543185
Monodelphis emiliae,Emilia's Short-tailed Opossum,Didelphidae,Monodelphis,emiliae,NA,Omnivore,1.609437912,LC,144.3710673,198.3686624,37.40195048
Monodelphis glirina,Amazonian Red-sided Opossum,Didelphidae,Monodelphis,glirina,NA,Omnivore,1.609437912,LC,192.3589966,295.0825793,53.40201627
Monodelphis handleyi,Handley's Short-tailed Opossum,Didelphidae,Monodelphis,handleyi,NA,Omnivore,1.029653014,DD,536.1064478,681.5974254,27.13844951
Monodelphis kunsi,Pygmy Short-tailed Opossum,Didelphidae,Monodelphis,kunsi,NA,Omnivore,1.609437912,LC,472.1697976,637.4180763,34.99763848
Monodelphis osgoodi,Osgood's short-tailed opossum,Didelphidae,Monodelphis,osgoodi,NA,Omnivore,1.609437912,LC,456.1195088,603.9640826,32.41356068
Monodelphis palliolata,Hooded Red-sided Opossum,Didelphidae,Monodelphis,palliolata,NA,Omnivore,1.609437912,LC,1118.284166,1251.471811,11.91000009
Monodelphis peruviana,Peruvian short-tailed opossum,Didelphidae,Monodelphis,peruviana,NA,Omnivore,1.609437912,LC,329.8218852,442.417216,34.13822307
Monodelphis reigi,Reig's short-tailed opossum,Didelphidae,Monodelphis,reigi,NA,Omnivore,1.609437912,VU,279.3138791,563.4973958,101.7434284
Monodelphis ronaldi,Ronald's Opossum,Didelphidae,Monodelphis,ronaldi,NA,Omnivore,1.609437912,LC,10.54522091,33.83197073,220.82752
Monodelphis scalops,Long-nosed Short-tailed Opossum,Didelphidae,Monodelphis,scalops,NA,Omnivore,1.609437912,LC,1038.299932,1373.639514,32.29698586
Monodelphis unistriata,Single-striped Opossum,Didelphidae,Monodelphis,unistriata,NA,Omnivore,1.609437912,CR,NA,NA,NA
Myoprocta pratti,Green Acouchi,Dasyproctidae,Myoprocta,pratti,NA,Omnivore,1.054920168,LC,144.1059528,199.8891464,38.70984682
Nasua narica,White-nosed Coati,Procyonidae,Nasua,narica,NA,FruiNect,0.801818553,LC,689.6073238,901.4368703,30.71741543
Nasua nasua,South American Coati,Procyonidae,Nasua,nasua,NA,FruiNect,0.801818553,LC,334.3598614,458.5369564,37.13875654
Nasuella meridensis,Eastern mountain coati,Procyonidae,Nasuella,meridensis,NA,FruiNect,0.801818553,EN,976.7800796,1069.170887,9.458711255
Nasuella olivacea,Western mountain coati,Procyonidae,Nasuella,olivacea,NA,FruiNect,0.801818553,NT,874.0111571,1074.62953,22.95375428
Neacomys guianae,Guiana Bristly Mouse,Cricetidae,Neacomys,guianae,NA,PlantSeed,1.33217904,LC,130.6435961,183.3578996,40.34970339
Neacomys musseri,Musser's bristly mous,Cricetidae,Neacomys,musseri,NA,PlantSeed,1.279854226,LC,62.5542787,99.40489194,58.9098204
Neacomys paracou,Paracou neacomys,Cricetidae,Neacomys,paracou,NA,PlantSeed,1.279854226,LC,108.7318207,161.9754029,48.96780163
Neacomys pictus,Painted neacomys,Cricetidae,Neacomys,pictus,NA,PlantSeed,1.33217904,DD,220.5408997,232.1927414,5.283302008
Neacomys spinosus,Common neacomys,Cricetidae,Neacomys,spinosus,NA,PlantSeed,1.33217904,LC,243.8745896,347.8921419,42.65206654
Neacomys tenuipes,Narrow-footed bristly mouse,Cricetidae,Neacomys,tenuipes,NA,PlantSeed,1.33217904,LC,944.0139599,1090.797408,15.54886409
Neotomodon alstoni,Mexican volcano mouse,Cricetidae,Neotomodon,alstoni,NA,Omnivore,1.220607265,LC,1483.171514,1863.231993,25.62485023
Nephelomys albigularis,Tomes's rice rat,Cricetidae,Nephelomys,albigularis,NA,PlantSeed,1.33217904,LC,760.4906282,939.339434,23.51755552
Nephelomys auriventer,Ecuadorian rice rat,Cricetidae,Nephelomys,auriventer,NA,PlantSeed,1.33217904,LC,451.8763569,624.8455945,38.27800128
Nephelomys caracolus,Caracol rice rat,Cricetidae,Nephelomys,caracolus,NA,PlantSeed,1.33217904,LC,1783.99371,1883.803745,5.594752648
Nephelomys devius,Boquete rice rat,Cricetidae,Nephelomys,devius,NA,PlantSeed,1.33217904,LC,908.6344783,1013.849495,11.57946563
Nephelomys keaysi,Keays's rice rat,Cricetidae,Nephelomys,keaysi,NA,PlantSeed,1.33217904,LC,485.5729599,648.7116081,33.59714433
Nephelomys levipes,light-footed rice rat,Cricetidae,Nephelomys,levipes,NA,PlantSeed,1.33217904,LC,598.8963238,791.9224451,32.23030659
Nephelomys meridensis,Mérida oryzomys,Cricetidae,Nephelomys,meridensis,NA,PlantSeed,1.33217904,LC,962.7887068,1044.161477,8.451778588
Nyctomys sumichrasti,Sumichrast's vesper rat,Cricetidae,Nyctomys,sumichrasti,NA,PlantSeed,1.054920168,LC,994.7309702,1199.688856,20.60435357
Octodon bridgesi,Bridges's Degu,Octodontidae,Octodon,bridgesi,NA,PlantSeed,0.950270539,VU,710.7186557,952.1887003,33.97547575
Octodon pacificus,Pacific degu,Octodontidae,Octodon,pacificus,NA,PlantSeed,0.950270539,CR,940.5732221,1498.273983,59.29371025
Oecomys auyantepui,Guianan oecomys,Cricetidae,Oecomys,auyantepui,NA,Omnivore,0.693147181,LC,104.258755,156.7504879,50.34755394
Oecomys bicolor,White-bellied oecomys,Cricetidae,Oecomys,bicolor,NA,Omnivore,0.693147181,LC,255.404869,350.8813454,37.38240259
Oecomys concolor,Unicolored oecomys,Cricetidae,Oecomys,concolor,NA,Omnivore,0.693147181,LC,236.3935292,319.6205345,35.20697269
Oecomys flavicans,Tawny oecomys,Cricetidae,Oecomys,flavicans,NA,Omnivore,0.693147181,LC,1235.150119,1356.376757,9.814729135
Oecomys mamorae,Mamore arboreal rice rat,Cricetidae,Oecomys,mamorae,NA,Omnivore,0.693147181,LC,330.4006988,472.4375256,42.98926346
Oecomys paricola,Brazilian oecomys,Cricetidae,Oecomys,paricola,NA,Omnivore,0.693147181,DD,198.3828105,304.0489706,53.26376804
Oecomys phaeotis,Dusky arboreal rice rat,Cricetidae,Oecomys,phaeotis,NA,Omnivore,0.693147181,LC,242.9249894,376.8172314,55.11670178
Oecomys rex,King arboreal rice rat,Cricetidae,Oecomys,rex,NA,Omnivore,0.693147181,LC,126.3913381,183.6323349,45.2887023
Oecomys roberti,Robert's oecomys,Cricetidae,Oecomys,roberti,NA,Omnivore,0.693147181,LC,166.9028607,254.8844786,52.71426596
Oecomys rutilus,Reddish oecomys,Cricetidae,Oecomys,rutilus,NA,Omnivore,0.693147181,LC,97.1900212,145.9640474,50.18419139
Oecomys speciosus,Savannah oecomys,Cricetidae,Oecomys,speciosus,NA,Omnivore,0.693147181,LC,747.0316308,922.3081465,23.4630648
Oecomys trinitatis,Long-furred oecomys,Cricetidae,Oecomys,trinitatis,NA,Omnivore,0.693147181,LC,498.842469,641.4633944,28.59037357
Olallamys albicauda,White-tailed olalla rat,Echimyidae,Olallamys,albicauda,NA,PlantSeed,1.029653014,DD,1490.722445,1840.924293,23.49208927
Olallamys edax,Greedy olalla rat,Echimyidae,Olallamys,edax,NA,PlantSeed,1.029653014,DD,990.3147264,1091.016638,10.16867757
Oligoryzomys brendae,Brenda's colilargo,Cricetidae,Oligoryzomys,brendae,NA,Omnivore,1.088899975,DD,528.4400997,692.1638185,30.98245551
Oligoryzomys destructor,Tschudi's colilargo,Cricetidae,Oligoryzomys,destructor,NA,Omnivore,1.088899975,LC,605.6320486,795.9851941,31.43049412
Oligoryzomys fulvescens,Fulvous colilargo,Cricetidae,Oligoryzomys,fulvescens,NA,Omnivore,1.088899975,LC,579.0995548,727.4742741,25.62162553
Oligoryzomys griseolus,Grizzled colilargo,Cricetidae,Oligoryzomys,griseolus,NA,Omnivore,1.088899975,LC,996.364074,1167.949193,17.22112666
Oligoryzomys microtis,Small-eared colilargo,Cricetidae,Oligoryzomys,microtis,NA,Omnivore,1.088899975,LC,182.6324255,272.9364276,49.44576615
Oligoryzomys vegetus,Sprightly pygmy rice rat,Cricetidae,Oligoryzomys,vegetus,NA,Omnivore,1.088899975,LC,826.0881379,928.4900952,12.39600867
Oreoryzomys balneator,Peruvian Rice Rat,Cricetidae,Oreoryzomys,balneator,NA,PlantSeed,1.33217904,DD,593.7519777,831.8953154,40.10821801
Oryzomys dimidiatus,Nicaraguan oryzomys,Cricetidae,Oryzomys,dimidiatus,NA,PlantSeed,1.33217904,DD,493.9399014,532.6601788,7.839066506
Otonyctomys hatti,Hatt's vesper mouse,Cricetidae,Otonyctomys,hatti,NA,PlantSeed,1.279854226,LC,467.4410804,637.5748898,36.39684584
Ototylomys phyllotis,Big-eared climbing rat,Cricetidae,Ototylomys,phyllotis,NA,Omnivore,0.693147181,LC,871.532752,1050.04637,20.48272058
Pattonomys carrikeri,Carriker's Speckled Tree Rat,Echimyidae,Pattonomys,carrikeri,NA,FruiNect,0.500402424,DD,1186.910981,1315.95562,10.87230978
Pattonomys occasius,Bare-tailed armored tree-rat,Echimyidae,Pattonomys,occasius,NA,FruiNect,0.500402424,DD,137.4448686,216.9451739,57.84159576
Pattonomys semivillosus,Speckled spiny tree-rat ,Echimyidae,Pattonomys,semivillosus,NA,FruiNect,0.500402424,LC,1158.306566,1337.143843,15.43954615
Pecari tajacu,Collared peccary,Tayassuidae,Pecari,tajacu,NA,PlantSeed,1.088899975,LC,464.2799325,617.417934,32.98398028
Peromyscus aztecus,Aztec mouse,Cricetidae,Peromyscus,aztecus,NA,Omnivore,1.220607265,LC,1040.543525,1308.949568,25.79479251
Peromyscus beatae,Orizaba deer mouse,Cricetidae,Peromyscus,beatae,NA,Omnivore,1.220607265,LC,1128.436758,1379.245204,22.22618532
Peromyscus furvus,Blackish deer mouse,Cricetidae,Peromyscus,furvus,NA,Omnivore,1.220607265,DD,1139.066922,1490.484081,30.85131806
Peromyscus grandis,Big deer mouse,Cricetidae,Peromyscus,grandis,NA,Omnivore,1.220607265,NT,1082.982151,1396.697345,28.96771605
Peromyscus gratus,Osgood's mouse,Cricetidae,Peromyscus,gratus,NA,Omnivore,1.220607265,LC,751.6458623,982.0571019,30.65422841
Peromyscus guatemalensis,Guatemalan deer mouse,Cricetidae,Peromyscus,guatemalensis,NA,Omnivore,1.220607265,LC,1422.245556,1535.653591,7.973871657
Peromyscus gymnotis,Naked-eared deer mouse,Cricetidae,Peromyscus,gymnotis,NA,Omnivore,1.220607265,LC,1625.270063,1825.844853,12.341013
Peromyscus hylocetes,Transvolcanic deer mouse,Cricetidae,Peromyscus,hylocetes,NA,Omnivore,1.220607265,LC,1351.730375,1694.541055,25.36087718
Peromyscus levipes,Nimble-footed mouse,Cricetidae,Peromyscus,levipes,NA,Omnivore,1.220607265,LC,1240.181042,1566.632288,26.32287027
Peromyscus mayensis,Maya mouse,Cricetidae,Peromyscus,mayensis,NA,Omnivore,1.220607265,CR,1377.580975,1551.005284,12.58904642
Peromyscus megalops,Brown deer mouse,Cricetidae,Peromyscus,megalops,NA,Omnivore,1.220607265,LC,753.9916528,1029.23365,36.50464785
Peromyscus mekisturus,Puebla deer mouse,Cricetidae,Peromyscus,mekisturus,NA,Omnivore,1.220607265,CR,1377.009067,1761.080965,27.89174793
Peromyscus melanocarpus,Zempoaltepec deer mouse,Cricetidae,Peromyscus,melanocarpus,NA,Omnivore,1.220607265,EN,377.2139852,736.0513679,95.12833477
Peromyscus melanurus,Black-tailed mouse,Cricetidae,Peromyscus,melanurus,NA,Omnivore,1.220607265,EN,595.1938887,842.3275125,41.52153248
Peromyscus mexicanus,Mexican deer mouse,Cricetidae,Peromyscus,mexicanus,NA,Omnivore,1.220607265,LC,1022.954971,1281.684178,25.29233595
Peromyscus ochraventer,El Carrizo deer mouse,Cricetidae,Peromyscus,ochraventer,NA,Omnivore,1.220607265,EN,424.5609152,575.3680898,35.520739
Peromyscus schmidlyi,Schmidly's deer mouse,Cricetidae,Peromyscus,schmidlyi,NA,Omnivore,1.220607265,LC,263.5837516,395.8471728,50.17889774
Peromyscus simulus,Nayarit mouse,Cricetidae,Peromyscus,simulus,NA,Omnivore,1.220607265,VU,1013.449037,1194.582463,17.8729684
Peromyscus spicilegus,Gleaning mouse,Cricetidae,Peromyscus,spicilegus,NA,Omnivore,1.220607265,LC,452.4993532,630.3197553,39.29738261
Peromyscus winkelmanni,Winkelmann's mouse,Cricetidae,Peromyscus,winkelmanni,NA,Omnivore,1.220607265,EN,382.9774376,414.1523235,8.140136435
