"","IUCN_species_name","genus","species","common_name","order_e","family_e","diet_inv_e","diet_fruit_e","diet_cat_e","diet_breadth","min_body_size_mm","max_body_size_mm","body_size_mm","min_longevity","max_longevity","longevity","min_home_range","max_home_range","home_range_size","generation_time","IUCN_category"
"32","Bolborhynchus orbygnesius","Bolborhynchus","orbygnesius","Andean Parakeet","Psittaciformes","Psittacidae",0,50,"Omnivore",0.693147181,160,170,170,NA,NA,9.2,NA,NA,NA,6,"LC"
"33","Brotogeris chiriri","Brotogeris","chiriri","Yellow-chevroned Parakeet","Psittaciformes","Psittacidae",0,50,"FruiNect",1.220607265,220,250,250,20,37,37,NA,NA,NA,5,"LC"
"34","Brotogeris chrysoptera","Brotogeris","chrysoptera","Golden-winged Parakeet","Psittaciformes","Psittacidae",0,70,"FruiNect",0.610864302,NA,NA,160,NA,NA,NA,NA,NA,NA,5,"LC"
"35","Brotogeris cyanoptera","Brotogeris","cyanoptera","Cobalt-winged Parakeet","Psittaciformes","Psittacidae",0,100,"FruiNect",0,180,200,200,20,37,37,NA,NA,NA,5,"LC"
"36","Brotogeris jugularis","Brotogeris","jugularis","Orange-chinned Parakeet","Psittaciformes","Psittacidae",0,30,"Omnivore",1.366158848,180,190,190,20,37,37,NA,NA,NA,5.18,"LC"
"37","Brotogeris pyrrhoptera","Brotogeris","pyrrhoptera","Grey-cheeked Parakeet","Psittaciformes","Psittacidae",0,30,"PlantSeed",1.088899975,NA,NA,200,NA,11.3,11.3,NA,NA,NA,5.4,"EN"
"38","Brotogeris sanctithomae","Brotogeris","sanctithomae","Tui Parakeet","Psittaciformes","Psittacidae",0,70,"FruiNect",0.610864302,NA,NA,170,20,37,37,NA,NA,NA,5,"LC"
"39","Brotogeris versicolurus","Brotogeris","versicolurus","White-winged Parakeet","Psittaciformes","Psittacidae",0,50,"Omnivore",0.693147181,220,250,250,20,37,37,NA,NA,NA,5,"LC"
"40","Deroptyus accipitrinus","Deroptyus","accipitrinus","Red-fan Parrot","Psittaciformes","Psittacidae",0,40,"PlantSeed",1.054920168,350,360,360,NA,21.8,21.8,NA,NA,NA,7.7,"LC"
"41","Diopsittaca cumanensis","Diopsittaca","cumanensis","Red-shouldered Macaw","Psittaciformes","Psittacidae",0,50,"Omnivore",0.693147181,300,330,330,NA,NA,22.9,NA,NA,NA,7.7,"LC"
"42","Diopsittaca nobilis","Diopsittaca","nobilis","Red-shouldered Macaw","Psittaciformes","Psittacidae",0,50,"Omnivore",0.693147181,300,330,330,NA,22.9,22.9,NA,NA,NA,7.7,"LC"
"43","Eupsittula astec","Eupsittula","astec","Olive-throated Parakeet","Psittaciformes","Psittacidae",0,60,"FruiNect",0.673011667,215,250,250,NA,NA,7.12,NA,NA,NA,7,"LC"
"44","Eupsittula aurea","Eupsittula","aurea","Peach-fronted Parakeet","Psittaciformes","Psittacidae",10,30,"PlantSeed",1.313834033,230,280,280,NA,NA,15.34,NA,NA,0.0045,7,"LC"
"45","Eupsittula canicularis","Eupsittula","canicularis","Orange-fronted Parakeet","Psittaciformes","Psittacidae",0,50,"Omnivore",0.693147181,230,250,250,NA,NA,26.82,NA,NA,NA,3.7,"LC"
"46","Eupsittula pertinax","Eupsittula","pertinax","Brown-throated Parakeet","Psittaciformes","Psittacidae",0,40,"PlantSeed",1.054920168,230,280,280,10,19.73,19.73,NA,NA,NA,3.02,"LC"
"47","Forpus coelestis","Forpus","coelestis","Pacific Parrotlet","Psittaciformes","Psittacidae",0,50,"Omnivore",0.693147181,NA,NA,130,NA,NA,10.4,NA,NA,NA,4.1,"LC"
"48","Forpus conspicillatus","Forpus","conspicillatus","Spectacled Parrotlet","Psittaciformes","Psittacidae",0,40,"PlantSeed",1.054920168,120,130,130,NA,NA,NA,NA,NA,NA,4.1,"LC"
"49","Forpus passerinus","Forpus","passerinus","Green-rumped Parrotlet","Psittaciformes","Psittacidae",0,30,"PlantSeed",1.088899975,120,130,130,NA,NA,11.6,NA,NA,NA,4.1,"LC"
"50","Forpus spengeli","Forpus","spengeli","Blue-winged Parrotlet","Psittaciformes","Psittacidae",0,50,"Omnivore",0.693147181,120,130,130,NA,NA,NA,NA,NA,NA,4.1,"LC"
"51","Forpus xanthopterygius","Forpus","xanthopterygius","Blue-winged Parrotlet","Psittaciformes","Psittacidae",0,50,"Omnivore",0.693147181,120,130,130,NA,NA,27.9,NA,NA,NA,4.1,"LC"
"52","Graydidascalus brachyurus","Graydidascalus","brachyurus","Short-tailed Parrot","Psittaciformes","Psittacidae",0,70,"FruiNect",0.610864302,NA,NA,240,NA,NA,13.2,NA,NA,NA,5.1,"LC"
"53","Hapalopsittaca amazonina","Hapalopsittaca","amazonina","Rusty-faced Parrot","Psittaciformes","Psittacidae",0,50,"Omnivore",0.693147181,NA,NA,230,NA,NA,NA,NA,NA,NA,6.9,"VU"
